 |Site1|Site2|Site3|Site4|Site5|Site6|Site7|Site8|Site9|Site10|Site11|Site12|Site13|Site14|Site15|Site16|Site17|Site18|Site19|Site20|Site21|Site22|Site23|Site24|Site25|Site26|Site27|Site28|Site29|Site30|Site31|Site32|Site33|Site34|Site35|Site36|Site37|Site38|Site39|Site40|Site41|Site42|Site43|Site44|Site45|Site46|Site47|Site48|Site49|Site50|Site51|Site52|Site53|Site54|Site55|Site56|Site57|Site58|Site59|Site60|Site61|Site62|Site63|Site64|Site65|Site66|Site67|Site68|Site69|Site70|Site71|Site72|Site73|Site74|Site75|Site76|Site77|Site78|Site79|Site80|Site81|Site82|Site83|Site84|Site85|Site86|Site87
|Jhovall Rider|0|0|1|0|5|2|2|1|0|2|18|1|2|21|1|1|1|1|2|2|1|1|3|1|1|5|1|0|8|1|0|1|3|1|1|2|1|3|3|1|20|1|0|0|0|0|3|0|0|2|1|1|0|3|1|1|5|1|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Moment of Silence|0|0|5|0|5|2|2|1|9|15|18|1|2|21|1|1|1|1|2|2|1|1|2|1|1|5|1|0|8|1|0|1|3|1|1|2|1|3|3|1|20|1|0|0|0|0|0|0|0|2|1|1|0|3|1|1|5|1|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Moonlit Wake|8|0|5|0|1|2|4|1|0|4|18|1|2|21|1|1|0|1|2|2|1|1|2|1|2|10|1|0|4|1|0|0|3|1|1|2|1|3|3|1|20|1|0|0|0|0|0|0|0|2|1|1|0|3|1|1|5|1|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Muzzle|8|0|5|0|4|2|12|1|2|7|20|2|2|21|1|1|2|1|2|1|1|1|1|0|2|0|1|0|2|1|0|0|3|1|1|2|1|3|3|1|20|1|0|0|0|0|3|0|0|2|1|1|0|3|7|1|5|1|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Nightwind Glider|8|0|1|0|4|2|1|1|3|0|20|4|2|21|1|1|1|1|2|1|1|1|1|3|2|0|1|0|2|1|0|0|3|1|1|2|1|3|3|0|20|1|0|0|0|0|2|0|0|2|1|1|0|3|7|1|5|3|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Noble Purpose|8|2|1|0|4|2|1|1|1|9|20|2|2|21|0|1|2|1|2|1|1|1|1|7|2|2|1|0|2|1|0|2|3|1|1|2|1|3|3|2|20|1|0|0|0|0|2|2|0|2|1|1|0|3|7|1|5|3|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Orim's Cure|8|0|13|0|3|2|0|1|6|2|6|2|2|21|0|1|0|1|2|2|1|1|1|3|2|1|1|0|2|1|0|2|0|1|1|2|1|3|3|2|20|1|0|0|0|0|0|2|0|2|1|1|0|3|7|1|5|3|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Pious Warrior|4|0|2|0|6|2|1|1|6|2|10|2|0|21|0|1|3|1|2|4|1|1|1|5|1|5|1|0|6|1|0|2|0|1|1|2|1|3|3|2|20|1|0|0|0|0|0|2|0|2|1|1|0|1|7|1|5|3|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Ramosian Captain|4|2|2|0|5|2|1|6|1|2|10|1|0|21|0|1|3|1|2|4|1|1|1|5|1|8|1|0|3|1|0|2|0|1|1|2|1|3|3|2|20|1|0|0|0|0|0|2|0|2|1|1|0|1|7|1|5|1|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Ramosian Commander|4|0|2|0|3|2|10|0|1|2|1|1|0|21|0|1|1|1|2|1|7|1|1|5|1|10|1|0|9|1|0|2|0|1|1|2|1|3|3|2|20|1|0|0|0|0|0|2|0|2|1|1|1|1|7|1|5|1|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Ramosian Lieutenant|4|0|2|0|0|2|0|0|4|2|1|4|5|21|0|1|1|1|2|1|2|1|1|5|1|4|1|0|9|2|0|2|1|1|1|2|1|3|3|0|20|1|0|0|0|0|1|2|0|2|1|1|1|1|7|1|5|1|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Ramosian Rally|4|0|2|0|0|2|0|0|4|2|1|4|5|21|0|1|1|1|2|1|2|1|1|5|4|3|1|0|9|2|0|2|1|1|1|2|1|3|3|0|20|1|0|0|0|0|1|2|0|2|1|1|1|1|7|1|5|1|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Ramosian Sergeant|4|1|5|1|7|2|3|0|4|2|4|1|5|21|1|1|0|0|2|2|3|1|0|1|2|3|1|0|9|2|0|2|1|1|1|2|1|3|3|0|20|1|0|0|0|0|2|2|0|2|1|1|1|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Ramosian Sky Marshal|4|1|1|1|2|2|8|0|4|0|1|1|5|21|1|1|1|0|2|2|3|1|0|1|2|0|1|0|9|2|0|2|1|1|1|2|1|3|3|1|20|2|0|0|0|0|2|2|0|2|1|1|0|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Rappelling Scouts|4|0|2|1|2|2|8|0|4|6|1|1|5|21|1|1|1|0|2|2|3|1|0|1|2|0|1|0|9|2|0|2|1|1|1|2|1|3|3|1|20|2|0|0|0|0|2|2|0|2|1|1|0|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Renounce|4|0|2|1|1|2|2|0|1|5|2|1|5|21|1|1|4|0|2|3|3|1|0|1|2|1|1|0|9|2|0|2|2|1|1|2|1|3|3|1|20|2|0|0|0|0|2|2|0|2|1|1|0|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Revered Elder|1|0|4|0|3|2|9|0|2|13|29|1|5|21|1|1|6|0|2|4|3|1|0|0|2|10|1|0|3|3|0|2|2|1|1|2|1|3|3|0|20|2|0|0|0|0|2|2|0|2|1|1|0|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Reverent Mantra|1|1|4|1|0|2|2|0|1|13|29|1|5|21|1|1|6|0|2|2|3|1|0|14|2|10|3|0|3|3|0|2|2|1|1|2|1|3|3|0|20|2|0|0|0|0|2|2|0|1|1|1|0|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Righteous Aura|22|0|1|0|0|2|2|0|11|1|11|1|5|21|1|1|7|0|2|2|0|1|0|5|2|8|3|0|3|3|6|2|2|1|1|2|1|3|2|0|20|2|0|0|1|0|1|2|0|1|1|1|2|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Righteous Indignation|22|0|1|0|1|2|2|0|2|9|4|1|5|21|1|1|5|0|2|6|0|1|0|9|2|1|3|0|3|3|6|2|2|1|1|2|1|3|2|0|20|2|0|0|1|0|1|2|0|1|1|1|2|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Security Detail|22|0|2|0|2|2|1|0|1|9|2|1|5|21|1|1|1|0|2|4|0|1|0|0|2|1|1|0|3|1|6|2|2|1|1|2|1|3|2|0|20|2|0|0|1|0|1|2|0|1|1|1|1|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Soothing Balm|11|0|1|0|5|2|10|0|2|50|2|1|5|21|2|1|2|0|2|2|0|1|0|1|1|6|1|0|3|0|2|2|2|1|1|2|1|3|2|0|20|2|0|0|1|0|1|2|0|1|1|1|0|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Spiritual Focus|11|2|2|1|5|2|0|0|2|2|2|1|5|21|2|1|2|0|2|7|0|1|1|1|1|6|1|0|2|0|2|2|2|1|2|2|1|3|2|0|20|2|0|0|1|0|1|2|0|1|1|1|0|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Steadfast Guard|14|0|4|0|7|2|20|2|4|8|8|2|1|1|2|4|9|0|2|1|0|1|3|1|0|3|1|0|2|1|2|2|2|1|2|2|1|3|2|0|20|2|0|0|1|0|1|2|0|1|1|1|0|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Story Circle|14|0|4|1|7|2|20|1|2|8|8|1|1|1|2|4|4|0|2|1|0|1|3|1|0|1|1|0|2|0|2|6|2|1|2|2|1|3|2|9|20|2|0|0|1|0|1|2|0|2|1|1|0|1|7|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Task Force|15|0|0|0|1|2|16|1|1|4|8|0|1|1|2|4|1|0|2|1|0|1|4|1|2|13|1|6|2|0|2|6|2|1|2|2|1|3|2|9|20|2|0|0|5|0|1|2|0|2|1|1|0|1|4|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Thermal Glider|10|0|1|0|1|2|19|1|5|3|6|0|1|1|2|4|2|0|2|1|0|1|4|1|2|13|1|6|2|0|2|0|2|1|2|2|1|3|2|0|20|2|0|0|5|0|1|2|0|2|1|1|0|1|4|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Tonic Peddler|10|0|2|0|1|2|4|1|3|10|0|0|1|1|2|4|2|0|2|1|0|1|4|0|2|1|1|6|2|0|2|0|2|1|2|2|1|3|2|0|20|2|0|0|5|0|1|2|0|2|1|1|0|1|4|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Trap Runner|10|0|2|0|1|2|6|1|1|12|5|2|1|1|0|2|2|2|2|1|0|1|4|0|2|2|1|6|5|2|2|0|2|1|2|2|1|3|2|0|20|2|0|0|1|0|1|2|0|2|1|1|1|1|4|1|5|0|1|1|1|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Wave of Reckoning|32|2|0|4|1|0|26|4|4|25|5|2|1|1|0|1|3|1|2|9|3|1|0|0|2|2|1|6|4|4|2|0|9|1|2|2|1|3|2|0|20|59|0|2|1|1|1|2|0|2|3|1|1|1|4|1|5|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Wishmonger|32|0|0|0|1|0|0|2|4|4|5|2|1|1|0|1|1|1|2|0|3|1|0|0|2|2|1|6|1|4|2|0|9|1|2|2|1|3|2|0|20|59|0|2|1|1|1|2|0|2|3|1|1|1|4|1|5|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Aerial Caravan|32|0|1|1|2|0|9|2|4|4|8|2|1|1|1|1|1|1|2|0|3|1|0|0|2|2|1|6|1|1|2|0|1|1|3|2|1|3|2|0|20|59|0|2|1|1|1|2|0|2|3|1|1|1|4|1|5|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Balloon Peddler|14|0|0|0|2|0|18|2|16|9|20|2|1|1|1|2|1|0|2|2|3|1|0|2|2|2|1|6|8|2|2|0|1|1|3|2|1|3|2|0|20|59|0|2|1|1|1|2|0|2|3|1|1|1|4|1|5|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Blockade Runner|29|0|3|0|6|0|1|2|23|6|32|2|1|1|1|2|2|0|2|2|3|1|0|3|2|1|1|6|1|0|2|0|1|1|3|2|1|3|2|0|20|59|0|2|1|1|3|2|0|2|3|1|1|2|4|1|5|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Bribery|2|3|3|0|6|0|1|2|2|6|32|2|1|1|1|2|2|0|2|2|3|1|0|3|2|1|1|6|1|0|2|2|4|4|3|2|1|3|2|3|20|59|0|1|1|1|3|2|0|2|3|1|1|2|2|2|0|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Buoyancy|36|0|1|0|2|0|19|2|5|4|35|2|1|1|1|2|4|0|2|3|3|1|3|2|0|1|1|6|3|2|2|2|4|4|3|2|1|3|2|0|20|59|0|1|1|1|3|2|0|2|3|1|1|2|2|2|0|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Chambered Nautilus|36|0|1|0|2|0|1|2|0|0|7|2|1|1|1|2|4|0|2|3|3|1|3|1|1|1|1|6|2|2|2|1|4|4|3|2|1|3|2|2|20|59|0|1|1|1|3|2|0|2|3|1|1|2|2|2|0|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Chameleon Spirit|36|1|2|0|2|0|4|2|1|8|7|2|1|1|1|2|4|0|2|3|0|1|3|2|1|4|1|6|2|2|2|1|4|4|3|2|1|3|2|2|20|59|1|1|1|1|3|2|0|2|3|1|1|2|2|2|0|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Charisma|36|9|2|0|2|0|4|2|1|0|7|2|1|1|1|2|4|0|2|3|0|1|3|4|1|4|1|6|2|2|2|1|4|4|3|2|1|3|2|2|20|59|1|1|1|1|3|2|0|2|3|1|1|2|2|2|0|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Cloud Sprite|3|0|0|0|2|0|2|12|7|8|2|2|1|1|1|2|1|0|2|1|0|1|0|4|1|3|2|6|2|2|1|1|4|4|3|2|1|3|2|2|20|59|1|1|1|1|3|2|0|2|3|1|1|1|2|2|0|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Coastal Piracy|3|4|0|0|2|0|2|12|7|8|2|2|1|1|1|2|1|2|2|1|0|1|3|1|2|3|2|6|2|2|1|1|4|0|3|2|1|0|2|1|20|59|1|1|1|1|3|2|0|2|3|1|1|1|2|2|0|0|1|2|0|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Cowardice|3|0|1|0|2|0|26|12|7|5|2|1|1|0|1|2|1|0|2|1|6|1|3|4|2|3|2|6|2|2|1|13|1|0|3|2|1|1|2|1|20|59|1|1|1|1|3|2|0|2|3|1|1|1|2|2|0|0|1|2|2|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Customs Depot|3|0|2|0|2|0|3|12|1|5|3|1|1|0|1|2|1|0|2|1|6|1|0|1|0|1|2|6|2|2|6|13|1|0|3|2|1|1|8|1|20|59|1|1|1|1|1|2|0|2|3|1|1|1|2|2|0|0|1|2|2|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Darting Merfolk|0|0|2|0|3|0|24|12|7|14|3|1|1|0|1|2|2|0|2|13|6|1|0|2|0|10|2|6|2|2|6|13|1|0|3|2|1|1|8|0|20|59|1|1|1|1|0|2|0|2|3|1|1|1|2|2|0|0|1|2|2|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Dehydration|61|0|10|0|6|0|23|10|2|0|87|12|0|25|1|30|20|9|2|29|6|1|24|24|4|1|5|6|9|8|1|13|1|0|3|2|1|1|8|0|20|59|1|1|1|1|0|2|0|2|3|12|1|3|2|2|0|0|1|2|2|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Diplomatic Escort|61|0|10|1|6|0|5|10|2|0|87|12|0|25|1|30|20|9|2|29|6|1|0|24|4|1|5|6|0|8|1|1|1|0|3|2|1|1|8|0|20|59|1|1|1|1|4|2|0|2|3|12|1|3|2|2|0|0|1|2|2|4|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Diplomatic Immunity|61|2|8|1|6|0|5|10|15|14|87|12|0|25|1|30|20|9|2|29|2|1|1|24|1|1|5|6|0|8|1|1|1|0|3|2|1|1|8|0|20|59|1|1|1|1|1|2|0|0|3|12|1|9|7|0|0|0|1|0|4|0|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Drake Hatchling|16|0|7|0|0|0|1|10|11|2|5|12|0|25|1|30|20|9|2|1|2|1|1|8|1|0|5|6|6|1|1|1|1|0|3|2|1|1|8|0|20|59|1|1|1|1|1|2|0|0|3|12|1|9|7|0|0|0|1|0|4|0|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Embargo|2|3|7|2|0|0|3|10|11|2|5|12|0|25|1|30|20|9|2|1|2|1|1|8|1|0|5|6|6|1|1|1|1|0|1|2|1|1|8|0|20|59|1|2|1|1|1|2|0|0|3|12|1|9|1|0|0|0|1|0|4|0|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Energy Flux|8|3|4|6|0|0|3|3|3|13|69|3|34|25|1|44|1|9|2|1|8|1|1|43|1|11|2|6|3|1|4|1|17|0|1|2|1|2|8|1|0|2|8|2|1|1|1|2|0|0|3|11|1|9|11|0|0|0|1|0|4|0|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Extravagant Spirit|8|0|2|2|0|0|7|3|3|4|8|3|34|25|1|44|0|9|2|1|8|1|1|4|1|11|2|6|3|1|4|1|17|0|1|2|1|2|8|1|0|2|8|2|1|1|1|2|0|0|3|11|1|9|11|0|0|0|1|0|4|0|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Glowing Anemone|8|0|2|2|1|0|1|2|1|6|8|3|34|25|1|44|0|1|2|1|8|1|1|5|3|2|2|6|3|1|4|1|17|0|1|2|1|2|5|1|0|2|8|2|1|1|1|2|0|0|3|11|1|9|11|0|0|0|1|0|4|0|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Gush|8|0|2|2|1|0|1|2|1|6|8|3|5|25|1|44|0|1|2|1|8|1|1|29|2|2|2|6|3|1|4|1|0|0|1|2|1|2|5|1|0|2|8|2|1|1|1|4|0|0|3|11|1|9|11|0|0|0|1|0|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|High Seas|8|0|0|1|0|0|0|2|4|8|8|3|5|25|1|44|0|1|2|1|8|1|1|29|2|3|1|6|3|1|4|1|0|0|1|2|1|0|2|1|0|2|8|2|1|1|1|4|0|0|3|11|1|9|11|0|0|0|1|0|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Hoodwink|8|0|0|1|0|0|40|2|5|8|8|3|43|25|1|44|0|1|2|2|8|1|1|29|1|4|1|1|3|1|4|1|0|0|1|2|1|0|2|1|0|2|8|1|1|1|1|4|0|0|3|11|1|2|11|0|0|0|1|0|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Indentured Djinn|8|0|0|1|0|0|2|2|1|2|9|3|0|25|1|44|0|1|2|2|8|1|1|29|1|1|1|1|1|1|4|1|0|0|1|2|1|0|2|1|0|2|8|1|1|1|1|4|0|0|3|11|1|2|11|0|0|0|1|0|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Karn's Touch|3|0|0|0|0|0|7|2|1|2|2|0|0|25|1|44|4|1|2|2|8|1|1|1|1|1|1|1|1|1|4|1|0|0|1|0|1|0|2|1|0|2|8|1|1|1|1|4|0|0|3|11|1|1|11|0|0|0|1|0|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Misdirection|22|1|0|0|0|0|31|2|2|2|4|0|1|25|1|0|27|1|2|2|1|1|1|0|1|1|1|1|4|1|4|0|0|2|1|0|2|8|2|1|2|2|8|2|6|1|0|4|0|0|2|3|1|1|0|0|0|0|1|2|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Misstep|12|0|1|0|0|0|14|2|14|0|2|0|1|25|1|0|1|1|2|2|1|1|2|5|1|0|1|1|1|1|4|0|0|2|1|0|2|8|2|1|2|2|8|2|6|1|0|4|0|0|2|3|1|1|0|0|0|0|1|2|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Overtaker|12|1|1|3|2|0|3|2|1|6|2|3|1|25|1|2|1|1|2|0|1|1|2|4|1|8|1|1|1|1|4|0|2|2|1|0|2|8|2|0|2|2|8|2|6|1|0|4|0|0|2|3|0|1|0|0|0|0|1|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Port Inspector|23|0|2|0|0|0|5|2|4|4|26|2|1|25|1|1|3|1|2|4|1|1|1|5|1|6|4|1|3|0|4|0|2|2|1|0|2|8|2|0|2|2|8|2|6|1|1|4|0|0|2|3|0|1|0|0|0|0|1|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Rishadan Airship|2|0|0|0|2|0|16|2|1|8|10|1|0|25|1|1|1|1|2|4|1|1|1|5|2|1|4|1|3|1|4|0|2|2|1|0|2|8|2|0|2|2|8|2|6|1|1|4|0|0|2|3|0|1|0|0|0|0|1|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Rishadan Brigand|2|0|0|0|2|0|16|2|1|8|10|1|0|25|1|2|1|1|2|4|1|1|1|5|2|1|4|1|3|1|4|0|2|2|1|0|2|8|10|0|2|2|8|2|6|1|1|4|0|0|2|3|0|1|0|0|0|0|1|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Rishadan Cutpurse|2|0|0|0|2|0|16|2|1|8|10|1|0|25|1|1|0|1|2|4|1|1|1|5|2|1|4|1|3|2|4|0|2|2|1|0|2|8|10|0|2|2|8|2|6|1|1|4|0|0|2|3|0|1|3|0|0|0|1|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Rishadan Footpad|2|0|0|0|2|0|16|2|1|8|10|1|0|25|1|0|0|1|2|4|1|1|1|5|2|1|4|1|3|2|4|0|2|2|1|0|2|8|9|0|2|2|8|2|6|1|1|4|0|0|2|3|0|1|3|0|0|0|1|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Sailmonger|2|0|1|0|2|0|16|2|3|7|4|1|0|25|1|0|2|1|2|4|1|1|1|5|2|2|4|1|3|2|4|0|2|2|1|0|2|8|9|0|2|2|8|2|6|1|1|4|0|0|2|3|0|1|3|0|0|0|1|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Sand Squid|2|0|2|0|2|0|5|2|3|7|4|1|0|25|1|0|5|1|2|2|1|1|1|2|2|2|4|1|3|2|4|0|2|2|1|0|2|8|9|0|2|2|8|2|6|1|1|4|0|0|2|1|0|1|3|0|0|0|1|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Saprazzan Bailiff|2|1|2|0|1|0|9|2|3|6|1|1|0|25|1|0|5|1|2|2|1|1|1|1|2|2|4|1|3|2|4|0|2|2|1|0|2|1|9|0|2|2|8|0|6|1|1|4|0|0|2|1|0|1|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Saprazzan Breaker|2|0|2|0|4|0|1|2|3|3|1|1|0|25|1|0|5|1|2|1|1|1|1|1|2|4|4|1|4|2|4|1|2|2|1|0|2|1|9|0|2|2|8|0|6|1|1|4|0|0|2|1|0|1|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Saprazzan Heir|2|5|2|0|3|0|2|2|2|3|1|1|0|25|1|0|5|1|2|1|1|1|1|4|2|5|4|1|4|2|4|1|2|2|1|0|2|1|9|0|2|2|8|0|6|1|1|4|0|0|2|1|0|1|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Saprazzan Legate|2|1|2|0|0|0|16|2|2|17|1|1|0|25|1|0|5|1|2|2|1|1|1|3|8|3|4|1|13|2|4|1|2|2|1|0|2|1|9|0|2|2|8|0|6|1|1|4|0|0|2|1|1|1|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Saprazzan Outrigger|2|0|0|0|4|0|7|2|9|6|8|1|0|25|1|0|1|1|2|2|1|1|2|3|2|5|4|1|4|2|4|1|2|2|1|0|2|1|5|0|2|2|8|0|6|1|1|4|0|0|2|1|1|1|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Saprazzan Raider|6|0|2|0|4|0|4|2|8|0|62|1|0|25|1|0|5|1|2|0|1|1|0|1|2|0|0|1|7|0|4|1|2|2|1|0|2|1|5|0|2|2|8|0|6|1|0|4|0|0|2|1|1|1|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
|Shoving Match|6|0|1|0|4|0|0|2|2|5|62|1|0|25|1|0|5|1|2|0|1|1|0|1|2|3|0|1|1|0|4|1|2|2|1|0|2|1|5|0|2|2|8|0|6|1|0|4|0|0|2|1|1|2|3|0|0|0|0|1|4|1|2|3|2|7|2|7|1|6|1|4|1|0|2|5|2|7|1|1|20|8|13|1|2|2|
